Orginal File Name:,CT-JTESTPANAS-2018_5_4_1054.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36,IP: undefined,Time:,2018_5_4_1054,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_type,trial_number,block_num,egg_x_position,egg_y_position,absolute_time_ms,response_time,response,result
main,49,1,99,-163,220.645,0.013000000000000001,1,2,
main,50,1,247,57,221.071,0.009000000000000001,1,2,
main,51,1,7,96,221.504,0.017,1,2,
main,52,1,680,107,221.922,0.002,1,2,
main,53,1,309,-4,222.34900000000002,0.019,1,2,
main,54,1,25,27,222.78300000000002,0.024,1,2,
main,55,1,63,64,223.205,0.008,1,2,
main,56,1,490,-64,223.629,0.008,1,2,
main,57,1,379,-110,224.056,0.028,1,1,
main,58,1,-262,152,224.398,0.061,1,1,
main,59,1,-354,-206,224.74,0.064,1,1,
main,60,1,-608,294,225.076,0.053,1,1,
main,61,1,-387,-41,225.417,0.065,1,1,
main,62,1,-192,18,225.757,0.054,1,2,
main,63,1,263,241,226.184,0.014,1,2,
main,64,1,379,122,226.609,0.012,1,1,
main,65,1,-389,71,226.942,0.051000000000000004,1,1,
main,66,1,-469,-150,227.28300000000002,0.059000000000000004,1,1,
main,67,1,-256,-113,227.62300000000002,0.06,1,1,
main,68,1,-255,114,227.961,0.051000000000000004,1,1,
main,69,1,-33,-82,228.29500000000002,0.053,1,1,
main,70,1,-357,228,228.632,0.058,1,1,
main,71,1,-284,-124,228.97400000000002,0.061,1,1,
main,72,1,-254,190,229.312,0.058,1,1,
main,73,1,-336,83,229.653,0.061,1,1,
main,74,1,-72,68,229.991,0.055,1,1,
main,75,1,-283,-36,230.329,0.066,1,1,
main,76,1,-261,38,230.667,0.07100000000000001,1,1,
main,77,1,-586,-212,231.008,0.063,1,1,
main,78,1,-279,-153,231.34900000000002,0.061,1,1,
main,79,1,-384,83,231.693,0.068,1,1,
main,80,1,-325,207,232.031,0.052000000000000005,1,2,
main,81,1,275,3,232.455,0.017,1,2,
main,82,1,410,20,232.88,0.015,1,2,
main,83,1,169,100,233.30700000000002,0.017,1,2,
main,84,1,140,229,233.732,0.011,1,2,
main,85,1,263,12,234.165,0.032,1,2,
main,86,1,293,-157,234.582,0.004,1,2,
main,87,1,315,-111,235.006,0.018000000000000002,1,2,
main,88,1,525,60,235.433,0.018000000000000002,1,2,
main,89,1,212,46,235.863,0.015,1,1,
main,90,1,-283,-59,236.201,0.054,1,1,
main,91,1,-85,14,236.542,0.055,1,2,
main,92,1,250,209,236.97400000000002,0.02,1,2,
main,93,1,-80,-82,237.401,0.013000000000000001,1,1,
main,94,1,-451,-82,237.735,0.051000000000000004,1,1,
main,95,1,-245,-53,238.07,0.053,1,2,
main,96,1,300,27,238.50300000000001,0.033,1,2,
main,97,1,285,30,238.935,0.018000000000000002,1,2,
main,98,1,-181,30,239.37,0.027,1,2,
main,99,1,287,-40,239.794,0.015,1,2,
main,100,1,271,-51,240.21800000000002,0.014,1,2,
main,101,1,214,105,240.64600000000002,0.021,1,2,
